"Date","Blr_Dsl","Chn_Dsl","Del_Dsl","Hyd_Dsl","Mub_Dsl","Blr_Ptr","Chn_Ptr","Del_Ptr","Hyd_Ptr","Mub_Ptr"
2019-12-31,70.26,71.84,68,74.06,71.29,77.69,78.1,75.18,79.85,80.77
2020-01-01,70.26,71.84,68,74.06,71.29,77.76,78.17,75.245,79.92,80.835
2020-01-02,70.42,72.01,68.16,74.23,71.46,77.83,78.24,75.31,79.99,80.9
2020-01-03,70.58,72.17,68.31,74.39,71.62,77.93,78.34,75.41,80.1,81
2020-01-04,70.73,72.32,68.46,74.54,71.77,78.03,78.44,75.51,80.2,81.1
2020-01-05,70.85,72.45,68.57,74.67,71.89,78.13,78.54,75.6,80.3,81.19
2020-01-06,71.02,72.63,68.74,74.86,72.07,78.28,78.7,75.75,80.46,81.34
2020-01-07,71.12,72.73,68.84,74.96,72.17,78.43,78.85,75.9,80.61,81.49
2020-01-08,71.12,72.73,68.84,74.96,72.17,78.33,78.75,75.8,80.51,81.39
2020-01-09,71.29,72.91,69,75.14,72.35,78.41,78.83,75.87,80.59,81.45
2020-01-10,71.41,73.03,69.11,75.26,72.47,78.56,78.98,76.02,80.74,81.6
2020-01-11,71.53,73.16,69.23,75.39,72.59,78.62,79.04,76.07,80.8,81.65
2020-01-12,71.48,73.11,69.18,75.34,72.54,78.52,78.94,75.97,80.7,81.55
2020-01-13,71.42,73.04,69.12,75.27,72.48,78.4,78.82,75.86,80.57,81.44
2020-01-14,71.42,73.04,69.12,75.27,72.48,78.3,78.72,75.76,80.47,81.34
2020-01-15,71.42,73.04,69.12,75.27,72.48,78.22,78.635,75.685,80.39,81.27
2020-01-16,71.27,72.89,68.98,75.12,72.33,78.14,78.55,75.61,80.31,81.2
2020-01-17,71.12,72.73,68.83,74.96,72.17,77.99,78.41,75.47,80.16,81.06
2020-01-18,70.95,72.56,68.67,74.78,72,77.84,78.25,75.32,80,80.91
2020-01-19,70.79,72.39,68.51,74.61,71.83,77.66,78.07,75.15,79.82,80.74
2020-01-20,70.59,72.18,68.32,74.4,71.63,77.55,77.95,75.04,79.7,80.63
2020-01-21,70.37,71.96,68.1,74.18,71.41,77.39,77.79,74.88,79.54,80.47
2020-01-22,70.37,71.96,68.1,74.18,71.41,77.39,77.79,74.88,79.54,80.47
2020-01-23,70.17,71.76,67.9,73.98,71.21,77.21,77.61,74.7,79.36,80.29
2020-01-24,69.91,71.5,67.64,73.72,70.95,76.99,77.39,74.48,79.14,80.07
2020-01-25,69.91,71.5,67.64,73.72,70.95,76.74,77.14,74.23,78.89,79.82
2020-01-26,69.31,70.9,67.04,73.12,70.35,76.44,76.84,73.93,78.59,79.52
2020-01-27,68.98,70.52,66.77,72.72,69.98,76.23,76.62,73.77,78.35,79.38
2020-01-28,68.85,70.38,66.64,72.58,69.85,76.12,76.5,73.66,78.24,79.27
2020-01-29,68.85,70.38,66.64,72.58,69.85,76.12,76.5,73.66,78.24,79.27
2020-01-30,68.63,70.16,66.42,72.36,69.63,75.88,76.26,73.42,78,79.03
2020-01-30,68.63,70.16,66.42,72.36,69.63,75.77,76.15,73.33,77.89,78.94
2020-01-31,68.54,70.06,66.34,72.25,69.53,75.63,76.01,73.19,77.74,78.8
2020-02-01,68.45,69.94,66.23,72.13,69.41,75.53,75.91,73.09,77.64,78.7
2020-02-02,68.37,69.86,66.15,72.05,69.33,75.48,75.85,73.04,77.58,78.66
2020-02-03,68.29,69.77,66.07,71.95,69.24,75.43,75.8,72.99,77.53,78.61
2020-02-04,68.27,69.75,66.05,71.93,69.22,75.43,75.8,72.99,77.53,78.61
2020-02-05,68.27,69.75,66.05,71.93,69.22,75.32,75.69,72.89,77.42,78.51
2020-02-06,68.11,69.59,65.93,71.77,69.06,75.1,75.47,72.68,77.2,78.3
2020-02-07,67.86,69.33,65.69,71.51,68.8,74.86,75.23,72.45,76.96,78.07
2020-02-08,67.6,69.07,65.44,71.24,68.54,74.64,75,72.23,76.72,77.85
2020-02-09,67.6,69.07,65.44,71.24,68.54,74.51,74.86,72.1,76.58,77.72
2020-02-10,67.24,68.68,65.08,70.84,68.15,74.35,74.69,71.94,76.41,77.57
2020-02-11,67.03,68.47,64.88,70.62,67.94,74.35,74.69,71.94,76.41,77.57
2020-02-12,67.03,68.47,64.88,70.62,67.94,74.35,74.69,71.94,76.41,77.57
2020-02-13,66.98,68.42,64.83,70.57,67.89,74.35,74.69,71.94,76.41,77.57
2020-02-14,66.98,68.42,64.83,70.57,67.89,74.35,74.69,71.94,76.41,77.57
2020-02-15,66.93,68.36,64.78,70.51,67.84,74.35,74.69,71.94,76.41,77.57
2020-02-16,66.93,68.36,64.78,70.51,67.84,74.35,74.69,71.94,76.41,77.57
2020-02-17,66.93,68.36,64.78,70.51,67.84,74.3,74.64,71.89,76.36,77.52
2020-02-18,66.8,68.23,64.66,70.38,67.71,74.3,74.64,71.89,76.36,77.52
2020-02-19,66.8,68.23,64.66,70.38,67.71,74.3,74.64,71.89,76.36,77.52
2020-02-20,66.8,68.23,64.66,70.38,67.71,74.3,74.64,71.89,76.36,77.52
2020-02-21,66.8,68.23,64.66,70.38,67.71,74.3,74.64,71.89,76.36,77.52
2020-02-22,66.8,68.23,64.66,70.38,67.71,74.36,74.705,71.95,76.42,77.58
2020-02-23,66.8,68.23,64.66,70.38,67.71,74.42,74.77,72.01,76.48,77.64
2020-02-24,66.86,68.28,64.71,70.44,67.76,74.42,74.77,72.01,76.48,77.64
2020-02-25,66.86,68.28,64.71,70.44,67.76,74.42,74.77,72.01,76.48,77.64
2020-02-26,66.86,68.28,64.71,70.44,67.76,74.37,74.71,71.96,76.43,77.59
2020-02-27,66.8,68.23,64.66,70.38,67.71,74.37,74.71,71.96,76.43,77.59
2020-02-28,66.75,68.18,64.61,70.33,67.66,74.3,74.64,71.89,76.36,77.52
2020-02-29,66.66,68.08,64.52,70.23,67.56,74.15,74.49,71.75,76.21,77.38
2020-03-01,66.48,67.84,64.34,69.99,67.32,73.92,74.26,71.53,75.97,77.16
2020-03-02,66.27,67.63,64.14,69.77,67.11,73.87,74.21,71.48,75.92,77.11
2020-03-03,66.2,67.55,64.07,69.69,67.04,73.87,74.21,71.48,75.92,77.11
